original,second_part,noun_forms,lemma,genus,compound_forms,related_words,hypernyms,roots,en_hypernyms,concept,definition,path,wup,stem_cistem,stem_porter,stem_lancaster,stem_snowball,share_cistem,share_porter,share_lancaster,share_snowball,dist_stemmer,similar_words,manual_sentiment
klimalaie,laie,"['laie', 'laien']",laie,m,"['klimalaie', 'klimalaien']","['Murkser', 'Pfuscher', 'Laie', 'Dilettant', 'Amateur', 'Praktikant', 'hat keine Ahnung', 'Nichtfachmann', 'Stümper', 'nicht vom Fach', 'Anfänger']",[],[],"['incompetent', 'incompetent person', 'unskilled person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'incompetent', 'incompetent person', 'unskilled person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,"['Jemand, der in einem Gebiet nicht gut ausgebildet ist.']",[],[],laie,laie,lai,laie,,,,,,[],negative
klimaleidenschaftlichkeit,leidenschaftlichkeit,"['leidenschaftlichkeiten', 'leidenschaftlichkeit']",leidenschaftlichkeit,f,"['klimaleidenschaftlichkeiten', 'klimaleidenschaftlichkeit']","['Leidenschaft', 'Tatkraft', 'Feuer', 'Herzblut', 'Leidenschaftlichkeit', 'innere Kraft', 'Eifer', 'Stärke', 'Energie', 'Passion', 'Heftigkeit', 'Dynamik', 'Verve', 'Energeia']","['Inzentiv', 'Ansporn', 'Anregung', 'Aufhänger', 'Antrieb', 'Stimulus', 'Reiz', 'Anreiz', 'Motivierung', 'Motivation']","['Antrieb', 'Reiz', 'Motivation', 'Anregung', 'Anreiz', 'Ansporn', 'Inzentiv', 'Motivierung', 'Stimulus', 'Aufhänger']",[],abstraction,['psychischer Antrieb'],[],[],leidenschaftlichkei,leidenschaftlichkeit,leidenschaftlichkeit,leidenschaft,,,,,,[],neutral
klimaleugner,leugner,"['leugners', 'leugner', 'leugnern']",leugner,m,"['klimaleugners', 'klimaleugner', 'klimaleugnern']",[],[],[],,person,[],[],[],leug,leugner,leugn,leugn,,,,,"['leugner', 'leugnung']","['leugner', 'leugnung']",negative
klimaleugnung,leugnung,"['leugnungen', 'leugnung']",leugnung,f,"['klimaleugnungen', 'klimaleugnung']",[],[],[],,abstraction,[],[],[],leugnung,leugnung,leugnung,leugnung,,,,,"['leugnung', 'leugner']","['leugnung', 'leugner']",negative
klimalobby,lobby,"['lobbys', 'lobby']",lobby,f,"['klimalobbys', 'klimalobby']","['Vestibül', 'Lobby', 'Vorraum', 'Interessengruppe', 'Vorhalle', 'Interessenvertretung', 'Interessensvertretung', 'Lounge', 'Spezis', 'Empfangshalle', 'Union', 'Eingangshalle', 'Interessengemeinschaft', 'Interessenorganisation', 'Interessensgruppe', 'Interessenverband', 'Verband', 'Pressure-Group', 'Wandelhalle', 'Verbindung', 'Foyer']","['Händelstadt', 'Gesellschaft', 'Gruppe', 'Körperschaft', 'Halle']","['Gruppe', 'Gesellschaft', 'Körperschaft', 'Halle', 'Händelstadt']","['political entity', 'political unit', 'unit', 'social unit', 'organization', 'organisation', 'social group', 'grouping', 'group', 'abstraction', 'abstract entity', 'entity', 'interest', 'interest group', 'social group', 'grouping', 'group', 'abstraction', 'abstract entity', 'entity']",abstraction,"['Gruppe von Personen, die versuchen, aktiv Einfluss auf die Gesetzgebung zu nehmen', 'ein großer Eingangs- oder Empfangsraum oder -bereich']",[],[],lobby,lobbi,lobby,lobby,,,,,,[],neutral
klimalösegeld,lösegeld,"['lösegelder', 'lösegeldern', 'lösegeld', 'lösegelds', 'lösegeldes', 'lösegelde']",lösegeld,n,"['klimalösegelder', 'klimalösegeldern', 'klimalösegeld', 'klimalösegelds', 'klimalösegeldes', 'klimalösegelde']",[],[],[],,abstraction,[],[],[],losegeld,lösegeld,lösegeld,losegeld,,,,,,[],negative
klimalüge,lüge,"['lüge', 'lügen']",lüge,f,"['klimalüge', 'klimalügen']","['Unwahrheit', 'Lüge', 'Schutzbehauptung', 'Falschaussage']",[],[],"['statement', 'content', 'substance', 'subject matter', 'message', 'communication', 'abstraction', 'abstract entity', 'entity']",abstraction,['eine falsche Aussage'],[],['erzählung'],lug,lüge,lüge,lug,"['lüge', 'lügner']",,,,"['lüge', 'leugner']","['erzählung', 'lüge', 'lügner', 'lüge', 'leugner']",negative
klimalügner,lügner,"['lügner', 'lügners', 'lügnern']",lügner,m,"['klimalügner', 'klimalügners', 'klimalügnern']","['Lügner', 'Schwindler', 'Flunkerer', 'Lügenmaul', 'Lügenbold']","['Schnute', 'Gosche', 'Gusche', 'Fresse', 'Klappe', 'Pappen', 'Schnauze', 'Mund', 'Gosch', 'Maul', 'Omme']","['Fresse', 'Omme', 'Schnute', 'Mund', 'Gosch', 'Maul', 'Schnauze', 'Klappe', 'Pappen', 'Gosche', 'Gusche']","['prevaricator', 'liar', 'slicker', 'cheat', 'trickster', 'deceiver', 'cheater', 'beguiler', 'offender', 'wrongdoer', 'bad person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'prevaricator', 'liar', 'slicker', 'cheat', 'trickster', 'deceiver', 'cheater', 'beguiler', 'offender', 'wrongdoer', 'bad person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,"['jemand, der Lügen erzählt']",[],[],lug,lügner,lügner,lugn,"['lüge', 'lügner']",,,,"['lügner', 'leugner']","['lüge', 'lügner', 'lügner', 'leugner']",negative
klimamacher,macher,"['macher', 'machern', 'machers']",macher,m,"['klimamacher', 'klimamachern', 'klimamachers']","['Hauptmatador', 'Verantwortlicher', 'Initiant', 'Urheber', 'Aktivling', 'Nimmermüde', 'Verursacher', 'Auslöser', 'Initiator', '...gestalter', '...macher', 'Macher', 'Gestalter', 'Machertyp', 'Tatmensch', 'Mann der Tat', 'immer am Ball']","['Großkopferter', '(Teil der) Nomenklatura', 'maßgeblicher Entscheider', 'hochgestellte Persönlichkeit', 'Führungspersönlichkeit']","['jemand', 'irgendjemand', 'jeder beliebige']","['physical entity', 'entity']",person,"['jede Einheit, die eine Wirkung hervorruft oder für Ereignisse oder Ergebnisse verantwortlich ist', 'eine Person, die handelt und Dinge erledigt']",[],"['aktivist', 'demagoge', 'milliardär']",mach,macher,mach,mach,,,,,,"['aktivist', 'demagoge', 'milliardär']",neutral
klimamafia,mafia,"['mafias', 'mafia']",mafia,f,"['klimamafias', 'klimamafia']","['Verbrecherbande', ""'Ndrangheta"", 'Syndikat', 'Verbrecherorganisation', 'Mafia', 'Gang', 'Gaunerbande', 'Cosa Nostra', 'kriminelle Organisation', 'Camorra', 'kriminelle Vereinigung', 'Bande', 'ehrenwerte Gesellschaft']","['Freundeskreis', 'Combo', 'organisierte Kriminalität', 'Clique', 'organisiertes Verbrechen', 'Blase', 'Bande']","['organisiertes Verbrechen', 'organisierte Kriminalität', 'Gruppe', 'Kollektiv', 'Team']","['family', 'crime syndicate', 'mob', 'syndicate', 'gangland', 'gangdom', 'organized crime', 'social group', 'grouping', 'group', 'abstraction', 'abstract entity', 'entity']",abstraction,"['ein Verbrechersyndikat in den Vereinigten Staaten; in Familien organisiert; es wird angenommen, dass es wichtige Beziehungen zur sizilianischen Mafia hat', 'Kriminelle Gruppe.']",[],[],mafia,mafia,maf,mafia,,,,,,[],negative
klimamahnwache,mahnwache,"['mahnwache', 'mahnwachen']",mahnwache,f,"['klimamahnwache', 'klimamahnwachen']",[],[],[],,abstraction,[],[],[],mahnwach,mahnwach,mahnwach,mahnwach,,,,,,[],neutral
klimamanipulation,manipulation,"['manipulationen', 'manipulation']",manipulation,f,"['klimamanipulationen', 'klimamanipulation']","['Abzocke', 'Fraud', 'Betrug', 'Gehirnwäsche', 'Nepp', 'Manipulierung', 'Gaukelei', 'Verarschung', 'Vernebelung der Gehirne', 'Hetze', 'Verfälschung', 'Schwindel', 'Schmu', 'Agitation', 'Sabotage', 'Programmierung', 'Finte', 'Volksverdummung', 'Gaunerei', 'krumme Tour', 'Suggestion', 'Zugriff', 'Irreführung', 'Bauernfängerei', 'Propaganda', 'Verschleierung', 'Täuschung', 'Schummelei', 'Verbrämung', 'Beeinflussung', 'Konditionierung', 'Manipulation', 'Veräppelung', 'Trickserei', 'List', 'Operation', 'Bluff', 'Vorspiegelung falscher Tatsachen', 'Einflüstern', 'Sabotierung', 'Verarsche', 'Rosstäuscherei', 'Verarscherei', 'Nahelegung', 'Beschmu']","['Höllenpein', 'Rückwirkung', 'fauler Zauber', 'Misshandlung', 'Quälerei', 'Konsequenz', 'Fazit', 'Gaukelspiel', 'Blendwerk', 'Marter', 'blauer Dunst', 'Einfluss', 'Folterung', 'Ergebnis', 'Resultat', 'Reaktion', 'Folter', 'Wirkung', 'Endergebnis', 'Höllenqual', 'Effekt', 'Folgeerscheinung', 'Hervorbringung', 'Nachwirkung', 'Pein', 'Herbeiführung', 'Beeinflussung', 'Auswirkung', 'Befund', 'Tortur', 'Feststellung', 'Folge', 'Quintessenz', 'Drangsal', 'Ausgang', 'Ausfluss', 'Peinigung']","['Tortur', 'Quälerei', 'Pein', 'Misshandlung', 'Folterung', 'Peinigung', 'Marter', 'Drangsal', 'Höllenpein', 'Folter', 'Höllenqual', 'Ergebnis', 'Ausgang', 'Wirkung', 'Auswirkung', 'Effekt', 'Folgeerscheinung', 'Konsequenz', 'Ausfluss', 'Folge', 'Nachwirkung', 'Einfluss', 'Reaktion', 'Rückwirkung', 'Hervorbringung', 'Beeinflussung', 'Endergebnis', 'Fazit', 'Resultat', 'Quintessenz', 'Feststellung', 'Befund', 'Herbeiführung', 'blauer Dunst', 'Gaukelspiel', 'Blendwerk', 'fauler Zauber']","['falsification', 'misrepresentation', 'wrongdoing', 'misconduct', 'wrongful conduct', 'actus reus', 'activity', 'human action', 'human activity', 'deed', 'act', 'event', 'abstraction', 'abstract entity', 'entity']",action,"['der Akt der Täuschung', 'die heimliche oder unsachgemäße Veränderung von etwas', 'die Vermischung mit Fremdstoffen; das Produkt der Verfälschung', 'geschickte oder hinterhältige Einflussnahme, insbesondere zum eigenen Vorteil', 'eine irreführende Unwahrheit', 'der Akt der Herbeiführung von Hypnose', '(Informatik) Datenverarbeitung, bei der das Ergebnis durch eine Regel vollständig spezifiziert ist (insbesondere die Verarbeitung, die sich aus einer einzigen Anweisung ergibt)', 'die Berührung mit den Händen (oder der geschickte Einsatz der Hände) oder durch den Einsatz mechanischer Mittel']",[],[],manipulatio,manipul,manip,manipulation,,,,,,[],negative
klimamantra,mantra,"['mantren', 'mantra', 'mantras']",mantra,n,"['klimamantren', 'klimamantra', 'klimamantras']","['Losung', 'Maxime', 'Leitsatz', 'monotone Rezitation', 'Parole', 'Passphrase', 'Devise', 'Sinnspruch', 'Slogan', 'Japa', 'Motto', 'Spruchformel', 'Mantra', 'Heilsversprechen', 'Wahlspruch', 'Leitspruch', 'Wortfolge']","['Werbespruch', 'Werbeslogan']","['Werbespruch', 'Werbeslogan', 'Werbespruch', 'Werbeslogan']","['expression', 'saying', 'locution', 'spoken language', 'spoken communication', 'speech', 'oral communication', 'speech communication', 'voice communication', 'language', 'auditory communication', 'communication', 'abstraction', 'abstract entity', 'entity']",abstraction,"['ein Lieblingsspruch einer Gruppe, Organisation oder Einzelperson', 'die Reihenfolge der Wörter in einem Text', '(Sanskrit) wörtlich eine ""heilige Äußerung"" im Vedismus; eine Sammlung von mündlich überlieferten poetischen Hymnen', 'ein häufig wiederholtes Wort oder eine häufig wiederholte Phrase']",[],[],mantra,mantra,mantr,mantra,,,,,,[],neutral
klimamilliardär,milliardär,"['milliardären', 'milliardäre', 'milliardär', 'milliardärs']",milliardär,m,"['klimamilliardären', 'klimamilliardäre', 'klimamilliardär', 'klimamilliardärs']","['reicher Mann', 'Geldaristokrat', 'Finanzgröße', 'Milliardär', 'Schwerreicher', 'Finanzkapitalist', 'Geldsack', 'Superreicher', 'Rockefeller', 'Finanzmagnat', 'Millionär', 'Reicher', 'Nabob', 'Pfeffersack', 'Krösus']","['Blaublüter', 'Aristo', 'Fauth', 'Vogt', 'Adelsherrscher', 'Aristokrat', 'Voigt']","['jemand', 'irgendjemand', 'jeder beliebige', 'Herrscher', 'Monarch', 'Regent', 'Souverän', 'Gebieter', 'Machthaber', 'Herr', 'Potentat', 'Vogt', 'Voigt', 'Fauth']","['drawstring bag', 'bag', 'container', 'instrumentality', 'instrumentation', 'means', 'artifact', 'artefact', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity']",person,['ein Beutel mit Kordel zum Aufbewahren von Geld'],[],['macher'],milliardar,milliardär,milliardär,milliardar,,,,,,['macher'],negative
klimamisere,misere,"['miseren', 'misere']",misere,f,"['klimamiseren', 'klimamisere']","['Zwangslage', 'Missstand', 'Zwickmühle', 'dummer Zufall', 'Dilemma', 'Wahl zwischen Pest und Cholera', 'missliche Lage', 'katastrophale Situation', 'verzwickte Situation', 'Schlamassel', 'Krise', 'Malaise', 'Ungemach', 'schlimmer Zustand', 'Problemsituation', 'Kalamität', 'zwischen Szylla und Charybdis', 'kritische Situation', 'Unbill', 'Misere', 'Verhängnis', 'schwierige Situation', 'Unglück', 'Krisis', 'Pech', 'Tragik']",[],[],"['difficultness', 'difficulty', 'quality', 'attribute', 'abstraction', 'abstract entity', 'entity']",abstraction,"['eine Situation, aus der es schwierig ist, sich zu befreien, insbesondere eine unangenehme oder schwierige Situation', 'unnötige und unvorhergesehene Schwierigkeiten infolge eines unglücklichen Ereignisses', 'das völlige Missmanagement oder die falsche Handhabung einer Situation', None]",[],[],miser,miser,mis,mis,,,,,,[],neutral
klimamonster,monster,"['monstern', 'monsters', 'monster']",monster,n,"['klimamonstern', 'klimamonsters', 'klimamonster']","['Untier', 'Biest', 'Scheusal', 'Monster', 'Bluthund', 'Ungetüm', 'Satan', 'Bestie', 'Ungeheuer', 'Kreatur', 'Bestie in Menschengestalt', 'Teufel', 'Monstrum', 'Missgeburt', 'Unmensch', 'Chimäre', 'Schimäre']","['Wes', 'Wesen', 'Wessen', 'Organismus']","['Wesen', 'Organismus', 'Wessen', 'Wes']","['assailant', 'attacker', 'aggressor', 'assaulter', 'offender', 'wrongdoer', 'bad person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'assailant', 'attacker', 'aggressor', 'assaulter', 'offender', 'wrongdoer', 'bad person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,"['eine grausam raubgierige Person', 'eine Person, die eine Verpackung öffnet oder auswickelt', 'eine grausame, bösartige und unmenschliche Person']",['teufel'],['teufel'],mon,monster,monst,monst,,,,,,['teufel'],negative
klimamutti,mutti,"['mutti', 'muttis']",mutti,f,"['klimamutti', 'klimamuttis']","['Evastochter', 'Mutter', 'Weib', 'Frau', 'Frauensperson', 'Weibsstück', 'weibliche Person', 'Sie', 'Madame Non', 'Dame', 'Braut', 'Gebärerin', 'Frauenzimmer', 'Grazie', 'Mam', 'Kohls Mädchen', 'Angie', 'Weibsen', 'Weibsperson', 'Perle', 'deine arme alte Mutter', 'Ma', 'Mama', 'Alte', 'weibliches Wesen', 'Vertreterin des schönen Geschlechts', 'Mädchen', 'Tante', 'Lebensspenderin', 'Angela Merkel', 'Muddern', 'Schnalle', 'Mutti', 'Person weiblichen Geschlechts', 'alte Dame', 'Lady', 'weiblicher Mensch', 'Weibsbild', 'Mami', 'Eva']","['Mensch', 'Schraubenmutter', 'Mutter', 'Typ', 'Erziehungsberechtigte', 'Persönlichkeit', 'Person', 'Eltern', 'Charakter', 'Subjekt', 'die Alten', 'Individuum', 'Einzelwesen']","['die Alten', 'Eltern', 'Erziehungsberechtigte', 'Typ', 'Person', 'Mensch', 'Charakter', 'Subjekt', 'Persönlichkeit', 'Individuum', 'Einzelwesen', 'Erscheinung', 'Phantom', 'Artefakt', 'Hirngespinst', 'Einbildung', 'Phantasmagorie', 'Sinnestäuschung', 'Schimäre', 'Trugbild', 'Chimäre']","['parent', 'genitor', 'progenitor', 'primogenitor', 'antecedent', 'ascendant', 'root', 'ascendent', 'ancestor', 'relation', 'relative', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'parent', 'genitor', 'progenitor', 'primogenitor', 'antecedent', 'ascendant', 'root', 'ascendent', 'ancestor', 'relation', 'relative', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,"['eine Frau, die ein Kind geboren hat', 'Eine weibliche Person.', 'eine junge Frau']",[],[],mutti,mutti,mutt,mutti,,,,,,[],negative
klimamärchenonkel,märchenonkel,"['märchenonkel', 'märchenonkels', 'märchenonkeln']",märchenonkel,m,"['klimamärchenonkel', 'klimamärchenonkels', 'klimamärchenonkeln']","['Märchenonkel', 'Märchenerzähler']","['Vatersbruder', 'Onkel mütterlicherseits', 'Oheim', 'Muttersbruder', 'Onkel', 'Ohm', 'Mutterbruder', 'narrative Instanz', 'Erzähler', 'Onkel väterlicherseits']","['Erzähler', 'narrative Instanz', 'Oheim', 'Onkel väterlicherseits', 'Muttersbruder', 'Onkel', 'Onkel mütterlicherseits', 'Mutterbruder', 'Ohm', 'Vatersbruder']",[],person,[None],[],[],marchenonkel,märchenonkel,märchenonkel,marchenonkel,,,,,,[],neutral
klimanationalismus,nationalismus,"['nationalismen', 'nationalismus']",nationalismus,m,"['klimanationalismen', 'klimanationalismus']","['völkische Gesinnung', 'Nationalbewusstsein', 'Nationalismus', 'Vaterlandsliebe', 'Nationalgefühl', 'Nationalstolz', 'Jingoismus', 'Patriotismus', 'Staatsgesinnung', 'Volkstümelei']",[],[],"['aspiration', 'ambition', 'dream', 'desire', 'feeling', 'state', 'attribute', 'abstraction', 'abstract entity', 'entity']",abstraction,"['das Streben nach nationaler Unabhängigkeit, das von Menschen unter fremder Herrschaft empfunden wird']",[],[],nationalismu,nationalismu,nationalism,nationalismus,,,,,,[],neutral
klimanonsens,nonsens,"['nonsens', 'nonsenses']",nonsens,m,"['klimanonsens', 'klimanonsenses']","['Jux', 'Döneken', 'Eselei', 'Spaß', 'Schote', 'Bullshit', 'Heckmeck', 'Blödsinn', 'Schmarren', 'Gelaber', 'Kohl', 'Quark', 'Schmonzes', 'Posse', 'Krampf', 'Käse', 'Schmu', 'Schabernack', 'Blech', 'Quatsch mit Soße', 'Mumpitz', 'Sottise', 'Stuss', 'geistiger Dünnschiss', 'Hanswurstiade', 'Scheiße', 'Unfug', 'Pipifax', 'Schnurre', 'Schnack', 'Schmarrn', 'Gefasel', 'Kokolores', 'dümmliches Gerede', 'Ulk', 'Nonsense', 'lustiger Streich', 'Eulenspiegelei', 'Kappes', 'Spass', 'geistiger Durchfall', 'Geschwafel', 'Schwachsinn', 'Schwachfug', 'Unsinn', 'Jokus', 'gequirlte Scheiße', 'Kiki', 'Schmäh', 'Gewäsch', 'Driss', 'Firlefanz', 'Widersinn', 'Drolerie', 'Schildbürgerstreich', 'Tinnef', 'Bockmist', 'Fez', 'Humbug', 'dummes Zeug', 'saudummes Zeug', 'Flachs', 'Mist', 'Pillepalle', 'Clownerie', 'Scheiß', 'Papperlapapp', 'Schnurrpfeiferei', 'Nonsens', 'Quatsch']","['Gelaber', 'leere Worte', 'Geschwalle', 'Luftblasen', 'leeres Gerede', 'Geblubber', 'langweilige Rede', 'warme Worte', 'Geschwätz', 'hohle Phrasen', 'Gefasel', 'Schein-Tiefsinn', 'Geschwafel', 'Schmus', 'Sermon', 'Gewäsch', 'Geplänkel', 'dummes Zeug', 'Geseire', 'Blabla', 'Gerede', 'Geschwurbel', 'Gemunkel']","['Tiefe', 'Tiefsinn']","['play', 'fun', 'sport', 'humour', 'humor', 'wittiness', 'wit', 'witticism', 'content', 'substance', 'subject matter', 'message', 'communication', 'abstraction', 'abstract entity', 'entity']",abstraction,"['eine komische Begebenheit oder eine Reihe von Begebenheiten', 'unsinniges Gerede oder Schreiben']",[],[],non,nonsen,nons,nons,,,,,,[],negative
klimanotfall,notfall,"['notfällen', 'notfalles', 'notfälle', 'notfalls', 'notfall', 'notfalle']",notfall,m,"['klimanotfällen', 'klimanotfalles', 'klimanotfälle', 'klimanotfalls', 'klimanotfall', 'klimanotfalle']","['Notfall', 'Notlage', 'Notsituation']",[],[],"['situation', 'difficultness', 'difficulty', 'quality', 'attribute', 'abstraction', 'abstract entity', 'entity']",abstraction,['eine schlechte oder schwierige Situation oder Lage'],['notlage'],['notlage'],notfall,notfal,notfal,notfall,,,,,,['notlage'],negative
klimanotlage,notlage,"['notlagen', 'notlage']",notlage,f,"['klimanotlagen', 'klimanotlage']","['Not', 'missliche Situation', 'Elend', 'Notlage', 'da brennt die Hütte', 'Schwulität', 'Holland in Not', 'Misslichkeit', 'Verlegenheit', 'Schwulibus', 'verzwickte Situation', '(in der) Patsche', 'da brennt der Baum', 'Notfall', 'Notstand', 'Verdrückung', 'Ausnahmezustand', 'Leid', 'Klemme', 'Schwierigkeit', 'Ausnahmesituation', 'Matthäi am Letzten', 'schwierige Situation', 'Bredouille', 'Notsituation', '(in der) Tinte', 'Bedrängnis', 'Krisensituation']",[],[],"['situation', 'difficultness', 'difficulty', 'quality', 'attribute', 'abstraction', 'abstract entity', 'entity']",abstraction,"['eine schlechte oder schwierige Situation oder Lage', 'ein Zustand des Unwohlseins aufgrund von Leid oder Unglück', None, 'ein Zustand oder eine Situation, die man kaum bewältigen kann und die große Anstrengungen erfordert, um sie zu ertragen oder zu überwinden']",['notfall'],['notfall'],notlag,notlag,notl,notlag,,,,,,['notfall'],negative
klimanotstandsregierung,notstandsregierung,"['notstandsregierung', 'notstandsregierungen']",notstandsregierung,f,"['klimanotstandsregierung', 'klimanotstandsregierungen']",[],[],[],,group,[],[],[],notstandsregierung,notstandsregierung,notstandsregierung,notstandsregier,,,,,,[],negative
klimaorthodoxie,orthodoxie,['orthodoxie'],orthodoxie,f,['klimaorthodoxie'],"['Rechtgläubigkeit', 'Orthodoxie', 'reine Lehre', 'Strenggläubigkeit']",[],[],"['unoriginality', 'quality', 'attribute', 'abstraction', 'abstract entity', 'entity']",abstraction,"['die Eigenschaft, orthodox zu sein (insbesondere in der Religion)']",[],[],orthodoxie,orthodoxi,orthodoxy,orthodoxi,,,,,,[],neutral
klimapanik,panik,"['panik', 'paniken']",panik,f,"['klimapanik', 'klimapaniken']","['Heidenangst', 'Herzensangst', 'Höllenangst', 'große Angst', 'Grausen', 'Himmelangst', 'Panik']","['Beklemmung', 'Unbehagen', 'Besorgnis', 'Manschetten', 'Furcht', 'Bedrohungsgefühl', 'Flattermann', 'Fracksausen', 'Muffensausen', 'Gedanken', 'Unausgeglichenheit', 'Muffe', 'Sorge', 'Missbehagen', 'Unruhe', 'Bammel', 'Angst', 'Beklommenheit', 'Bedenken', 'Schiss', 'Angstgefühl', 'Befürchtung', 'Scheu']","['Befürchtung', 'Beklemmung', 'Scheu', 'Muffensausen', 'Manschetten', 'Schiss', 'Sorge', 'Angst', 'Flattermann', 'Fracksausen', 'Angstgefühl', 'Bedrohungsgefühl', 'Bedenken', 'Beklommenheit', 'Bammel', 'Furcht', 'Muffe', 'Unruhe', 'Unbehagen', 'Besorgnis', 'Unausgeglichenheit', 'Missbehagen', 'Sorge', 'Gedanken']","['anxiety', 'anxiousness', 'psychological condition', 'psychological state', 'mental state', 'mental condition', 'condition', 'status', 'state', 'attribute', 'abstraction', 'abstract entity', 'entity']",abstraction,['plötzliche massive Angst und Beunruhigung vor erwarteten Ereignissen'],[],[],panik,panik,panik,panik,,,,,,[],neutral
klimapanikmache,panikmache,['panikmache'],panikmache,f,['klimapanikmache'],"['Hysteriesierung', 'Angstmacherei', 'Panikmache']",[],[],[],action,[None],[],[],panikmach,panikmach,panikmach,panikmach,,,,,,[],negative
klimapapst,papst,"['papstes', 'papste', 'päpsten', 'papsts', 'päpste', 'papst']",papst,m,"['klimapapstes', 'klimapapste', 'klimapäpsten', 'klimapapsts', 'klimapäpste', 'klimapapst']","['Kirchenoberhaupt', 'Pontifex Maximus', 'Papst', 'Gottes Stellvertreter', 'Stellvertreter Gottes', 'Seine Heiligkeit', 'Heiliger Vater', 'Bischof von Rom', 'Nachfolger Petri', 'Kirchenfürst', 'Stellvertreter Christi auf Erden', 'Pontifex', 'Eure Heiligkeit']",[],[],"['Catholic', 'Christian', 'religious person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'Catholic', 'Christian', 'religious person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity', 'spiritual leader', 'leader', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'spiritual leader', 'leader', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,['das Oberhaupt der römisch-katholischen Kirche'],[],[],pap,papst,papst,papst,,,,,"['papst', 'päpstin']","['papst', 'päpstin']",negative
klimaparadies,paradies,"['paradiesen', 'paradieses', 'paradies', 'paradiese']",paradies,n,"['klimaparadiesen', 'klimaparadieses', 'klimaparadies', 'klimaparadiese']","['Leben nach dem Tod', 'Idyll', 'Oase', 'Paradies', 'Himmelreich', 'Erholungsort', 'Idylle', 'Rückzugsstätte', 'Paradies auf Erden', 'Refugium', 'Rückzugsort', 'Garten Eden', 'Himmel', 'heile Welt', 'Jenseits', 'Insel der Seligen', 'Eden']","['Herrschaftsgebiet', 'Lebensdauer', 'Reich', 'Nutzungsdauer', 'Imperium', 'Herrschaftsbereich']","['Bezirk', 'Kreis', 'Landstrich', 'Ausschnitt', 'Bereich', 'Stück', 'Abschnitt', 'Fragment', 'Fetzen', 'Teil', 'Bruchstück', 'Stückchen', 'Segment', 'Teilbereich', 'Unvollendetes', 'Spektakel', 'Event', 'Hypeevent', 'Großereignis', 'Spektakulum', 'Hype-Event', 'besonderes Ereignis', 'Ausschnitt', 'Bereich', 'Stück', 'Abschnitt', 'Fragment', 'Fetzen', 'Teil', 'Bruchstück', 'Stückchen', 'Segment', 'Teilbereich', 'Unvollendetes', 'Gerät', 'Anlage', 'Apparatur', 'Maschine', 'Apparat', 'Aggregat', 'Automat', 'Gerät', 'Anlage', 'Apparatur', 'Maschine', 'Apparat', 'Aggregat', 'Automat']","['life', 'lifespan', 'life-time', 'lifetime', 'period', 'time period', 'period of time', 'fundamental measure', 'fundamental quantity', 'measure', 'amount', 'quantity', 'abstraction', 'abstract entity', 'entity']",abstraction,"['Leben nach dem Tod', 'ein Schutzraum, der als Ort der Sicherheit oder der Zuflucht dient']",[],[],paradie,paradi,parady,paradi,,,,,,[],neutral
