original,second_part,noun_forms,lemma,genus,compound_forms,sim_words,wup_sim_words,related_words,hypernyms,definition,stem_cistem,stem_porter,stem_lancaster,stem_snowball,share_cistem,share_porter,share_lancaster,share_snowball,similar_words
Klimakritik,Kritik,"['Kritiken', 'Kritik']",Kritik,f,"['Klimakritiken', 'Klimakritik']",[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Besprechung', 'Urteil', 'Beurteilung', 'Durchsicht', 'Einschätzung', 'Kritik', 'kritische Würdigung', 'Rezension']",,"['das endgültige Urteil in einem Gerichtsverfahren; der Akt der Urteilsverkündung auf der Grundlage der vorgelegten Beweise', 'eine ernsthafte Prüfung und Beurteilung einer Sache']",kritik,kritik,kritik,kritik,"['kritik', 'kritiker']","['kritik', 'kritiker']","['kritik', 'kritiker']","['kritik', 'kritiker']","['kritik', 'kritiker', 'kritik', 'kritiker', 'kritik', 'kritiker']"
Klimakritiker,Kritiker,"['Kritiker', 'Kritikers', 'Kritikern']",Kritiker,m,"['Klimakritiker', 'Klimakritikers', 'Klimakritikern']",[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Rezensent', 'Besprecher', 'Beurteiler', 'Zensurenverteiler', 'Begutachter', 'Kritiker', 'Zensor', 'Bewerter']",,"['eine Autorität, die in der Lage ist, den Wert oder die Qualität zu beurteilen']",kritik,kritik,kritik,kritik,"['kritik', 'kritiker']","['kritik', 'kritiker']","['kritik', 'kritiker']","['kritik', 'kritiker']","['kritik', 'kritiker', 'kritik', 'kritiker', 'kritik', 'kritiker']"
Klimakult,Kult,"['Kult', 'Kulte', 'Kulten', 'Kultes', 'Kults']",Kult,m,"['Klimakult', 'Klimakulte', 'Klimakulten', 'Klimakultes', 'Klimakults']",[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Kult', 'Kultus']",,"['ein Interesse, das mit übertriebenem Eifer verfolgt wird', 'der Akt der Bewunderung']",kul,kult,kult,kult,,,,,[]
Klimakäse,Käse,"['Käsen', 'Käses', 'Käse']",Käse,m,"['Klimakäsen', 'Klimakäses', 'Klimakäse']","['blödsinn', 'gefasel', 'quatsch', 'unfug', 'unsinn']","['blödsinn', 'gefasel', 'quatsch', 'unfug', 'unsinn']","['Schwachsinn', 'Scheiße', 'Mist', 'Quark', 'Nonsens', 'Fez', 'Gelaber', 'Gefasel', 'dummes Zeug', 'Geschwafel', 'Gewäsch', 'Krampf', 'Kohl', 'Tinnef', 'Bockmist', 'Kiki', 'Widersinn', 'Unsinn', 'Käse', 'saudummes Zeug', 'Scheiß', 'Quatsch', 'Unfug', 'Kokolores', 'Schmarren', 'Schmäh', 'Blech', 'geistiger Dünnschiss', 'Quatsch mit Soße', 'Humbug', 'Stuss', 'dümmliches Gerede', 'Nonsense', 'geistiger Durchfall', 'Schmarrn', 'Schwachfug', 'Pillepalle', 'Pipifax', 'gequirlte Scheiße', 'Mumpitz', 'Bullshit', 'Driss', 'Kappes', 'Heckmeck', 'Papperlapapp', 'Schmonzes', 'Sottise', 'Schmu', 'Blödsinn', 'Firlefanz']","['Geplänkel', 'leeres Gerede', 'hohle Phrasen', 'Geseire', 'Geschwalle', 'Gerede', 'Gelaber', 'Gefasel', 'dummes Zeug', 'Schein-Tiefsinn', 'langweilige Rede', 'Blabla', 'Gemunkel', 'Geschwurbel', 'Luftblasen', 'Geschwafel', 'Sermon', 'Geschwätz', 'warme Worte', 'Gewäsch', 'Schmus', 'leere Worte', 'Geblubber']",['unsinniges Gerede oder Schreiben'],kas,käse,käse,kas,,,,,"['blödsinn', 'gefasel', 'quatsch', 'unfug', 'unsinn']"
Klimakönigin,Königin,"['Königin', 'Königinnen']",Königin,f,"['Klimakönigin', 'Klimaköniginnen']",[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Monarchin', 'Königin', 'Queen']",,"['die Frau oder Witwe eines Königs', 'eine weibliche souveräne Herrscherin']",konigi,königin,königin,konigin,,,,,[]
Klimalaie,Laie,"['Laien', 'Laie']",Laie,m,"['Klimalaien', 'Klimalaie']",[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Anfänger', 'Pfuscher', 'Amateur', 'Murkser', 'Stümper', 'Laie', 'hat keine Ahnung', 'Dilettant', 'nicht vom Fach', 'Praktikant', 'Nichtfachmann']",,"['Jemand, der in einem Gebiet nicht gut ausgebildet ist.']",laie,laie,lai,laie,,,,,[]
Klimaleidenschaftlichkeit,Leidenschaftlichkeit,"['Leidenschaftlichkeiten', 'Leidenschaftlichkeit']",Leidenschaftlichkeit,f,"['Klimaleidenschaftlichkeiten', 'Klimaleidenschaftlichkeit']",[],[],"['Tatkraft', 'Herzblut', 'Passion', 'Leidenschaftlichkeit', 'Dynamik', 'Energie', 'Verve', 'Eifer', 'Leidenschaft', 'Feuer', 'Energeia', 'Heftigkeit', 'Stärke', 'innere Kraft']","['Antrieb', 'Reiz', 'Motivation', 'Anregung', 'Anreiz', 'Ansporn', 'Inzentiv', 'Motivierung', 'Stimulus', 'Aufhänger']",['psychischer Antrieb'],leidenschaftlichkei,leidenschaftlichkeit,leidenschaftlichkeit,leidenschaft,,,,,[]
Klimaleugner,Leugner,"['Leugnern', 'Leugner', 'Leugners']",Leugner,m,"['Klimaleugnern', 'Klimaleugner', 'Klimaleugners']",[],[],,,[],leug,leugner,leugn,leugn,,,,,[]
Klimaleugnung,Leugnung,"['Leugnungen', 'Leugnung']",Leugnung,f,"['Klimaleugnungen', 'Klimaleugnung']",[],[],,,[],leugnung,leugnung,leugnung,leugnung,,,,,[]
Klimalobby,Lobby,"['Lobby', 'Lobbys']",Lobby,f,"['Klimalobby', 'Klimalobbys']",[],[],"['Verbindung', 'Verband', 'Lobby', 'Interessenvertretung', 'Interessengemeinschaft', 'Pressure-Group', 'Interessensgruppe', 'Interessengruppe', 'Interessenorganisation', 'Spezis', 'Interessensvertretung', 'Interessenverband', 'Union']","['Gruppe', 'Gesellschaft', 'Körperschaft']","['Gruppe von Personen, die versuchen, aktiv Einfluss auf die Gesetzgebung zu nehmen', 'ein großer Eingangs- oder Empfangsraum oder -bereich']",lobby,lobbi,lobby,lobby,,,,,[]
Klimalösegeld,Lösegeld,"['Lösegeldern', 'Lösegeldes', 'Lösegelds', 'Lösegeld', 'Lösegelder', 'Lösegelde']",Lösegeld,n,"['Klimalösegeldern', 'Klimalösegeldes', 'Klimalösegelds', 'Klimalösegeld', 'Klimalösegelder', 'Klimalösegelde']",[],[],,,[],losegeld,lösegeld,lösegeld,losegeld,,,,,[]
Klimalüge,Lüge,"['Lügen', 'Lüge']",Lüge,f,"['Klimalügen', 'Klimalüge']",['erzählung'],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'erzählung', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Schutzbehauptung', 'Lüge', 'Unwahrheit', 'Falschaussage']",,['eine falsche Aussage'],lug,lüge,lüge,lug,"['lüge', 'lügner']",,,,"['erzählung', 'lüge', 'lügner']"
Klimalügner,Lügner,"['Lügner', 'Lügnern', 'Lügners']",Lügner,m,"['Klimalügner', 'Klimalügnern', 'Klimalügners']",[],[],"['Schwindler', 'Lügenbold', 'Lügenmaul', 'Lügner', 'Flunkerer']","['Fresse', 'Omme', 'Schnute', 'Mund', 'Gosch', 'Maul', 'Schnauze', 'Klappe', 'Pappen', 'Gosche', 'Gusche']","['jemand, der Lügen erzählt']",lug,lügner,lügner,lugn,"['lüge', 'lügner']",,,,"['lüge', 'lügner']"
Klimamacher,Macher,"['Machern', 'Machers', 'Macher']",Macher,m,"['Klimamachern', 'Klimamachers', 'Klimamacher']",[],"['aktivist', 'demagoge', 'milliardär']","['Auslöser', 'Urheber', 'Verantwortlicher', 'Verursacher', 'Initiant', 'Macher', 'Hauptmatador', 'Initiator', '...gestalter', '...macher', 'Gestalter']","['hochgestellte Persönlichkeit', 'Großkopferter', 'maßgeblicher Entscheider', 'Führungspersönlichkeit', '(Teil der) Nomenklatura']","['jede Einheit, die eine Wirkung hervorruft oder für Ereignisse oder Ergebnisse verantwortlich ist', 'eine Person, die handelt und Dinge erledigt']",mach,macher,mach,mach,,,,,[]
Klimamafia,Mafia,"['Mafia', 'Mafias']",Mafia,f,"['Klimamafia', 'Klimamafias']",[],[],"['Camorra', 'ehrenwerte Gesellschaft', ""'Ndrangheta"", 'Cosa Nostra', 'Mafia']","['organisiertes Verbrechen', 'organisierte Kriminalität']","['ein Verbrechersyndikat in den Vereinigten Staaten; in Familien organisiert; es wird angenommen, dass es wichtige Beziehungen zur sizilianischen Mafia hat', 'Kriminelle Gruppe.']",mafia,mafia,maf,mafia,,,,,[]
Klimamahnwache,Mahnwache,"['Mahnwache', 'Mahnwachen']",Mahnwache,f,"['Klimamahnwache', 'Klimamahnwachen']",[],[],,,[],mahnwach,mahnwach,mahnwach,mahnwach,,,,,[]
Klimamanipulation,Manipulation,"['Manipulationen', 'Manipulation']",Manipulation,f,"['Klimamanipulationen', 'Klimamanipulation']",[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Schwindel', 'Gaunerei', 'Betrug', 'krumme Tour', 'Schmu', 'Täuschung', 'Nepp', 'Bauernfängerei', 'Abzocke', 'Trickserei', 'Rosstäuscherei', 'Manipulation', 'Fraud', 'Schummelei', 'Beschmu']",,"['der Akt der Täuschung', 'die heimliche oder unsachgemäße Veränderung von etwas', 'die Vermischung mit Fremdstoffen; das Produkt der Verfälschung', 'geschickte oder hinterhältige Einflussnahme, insbesondere zum eigenen Vorteil', 'eine irreführende Unwahrheit', 'der Akt der Herbeiführung von Hypnose', '(Informatik) Datenverarbeitung, bei der das Ergebnis durch eine Regel vollständig spezifiziert ist (insbesondere die Verarbeitung, die sich aus einer einzigen Anweisung ergibt)', 'die Berührung mit den Händen (oder der geschickte Einsatz der Hände) oder durch den Einsatz mechanischer Mittel']",manipulatio,manipul,manip,manipulation,,,,,[]
Klimamantra,Mantra,"['Mantras', 'Mantra', 'Mantren']",Mantra,n,"['Klimamantras', 'Klimamantra', 'Klimamantren']",[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Losung', 'Parole', 'Motto', 'Leitsatz', 'Maxime', 'Devise', 'Sinnspruch', 'Wahlspruch', 'Mantra', 'Leitspruch', 'Slogan']",,"['ein Lieblingsspruch einer Gruppe, Organisation oder Einzelperson', 'die Reihenfolge der Wörter in einem Text', '(Sanskrit) wörtlich eine ""heilige Äußerung"" im Vedismus; eine Sammlung von mündlich überlieferten poetischen Hymnen', 'ein häufig wiederholtes Wort oder eine häufig wiederholte Phrase']",mantra,mantra,mantr,mantra,,,,,[]
Klimamilliardär,Milliardär,"['Milliardärs', 'Milliardäre', 'Milliardären', 'Milliardär']",Milliardär,m,"['Klimamilliardärs', 'Klimamilliardäre', 'Klimamilliardären', 'Klimamilliardär']",[],"['aktivist', 'demagoge', 'macher']","['Geldsack', 'Finanzmagnat', 'Schwerreicher', 'Finanzkapitalist', 'reicher Mann', 'Geldaristokrat', 'Finanzgröße', 'Pfeffersack', 'Nabob', 'Reicher', 'Milliardär', 'Superreicher', 'Krösus', 'Rockefeller', 'Millionär']","['Vogt', 'Voigt', 'Fauth']",['ein Beutel mit Kordel zum Aufbewahren von Geld'],milliardar,milliardär,milliardär,milliardar,,,,,[]
Klimamisere,Misere,"['Miseren', 'Misere']",Misere,f,"['Klimamiseren', 'Klimamisere']",[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['missliche Lage', 'kritische Situation', 'Zwangslage', 'Krisis', 'Missstand', 'Zwickmühle', 'zwischen Szylla und Charybdis', 'schlimmer Zustand', 'Wahl zwischen Pest und Cholera', 'Malaise', 'Krise', 'Problemsituation', 'verzwickte Situation', 'Tragik', 'Verhängnis', 'Misere', 'Kalamität', 'Dilemma', 'Schlamassel']",,"['eine Situation, aus der es schwierig ist, sich zu befreien, insbesondere eine unangenehme oder schwierige Situation', 'unnötige und unvorhergesehene Schwierigkeiten infolge eines unglücklichen Ereignisses', 'das völlige Missmanagement oder die falsche Handhabung einer Situation', None]",miser,miser,mis,mis,,,,,[]
Klimamonster,Monster,"['Monster', 'Monsters', 'Monstern']",Monster,n,"['Klimamonster', 'Klimamonsters', 'Klimamonstern']",['teufel'],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Satan', 'Monster', 'Scheusal', 'Teufel', 'Bluthund', 'Bestie', 'Bestie in Menschengestalt', 'Unmensch', 'Ungeheuer']",,"['eine grausam raubgierige Person', 'eine Person, die eine Verpackung öffnet oder auswickelt', 'eine grausame, bösartige und unmenschliche Person']",mon,monster,monst,monst,,,,,['teufel']
Klimamutti,Mutti,"['Muttis', 'Mutti']",Mutti,f,"['Klimamuttis', 'Klimamutti']",[],[],"['Alte', 'Mutti', 'deine arme alte Mutter', 'alte Dame', 'Mami', 'Ma', 'Mama', 'Lebensspenderin', 'Mutter', 'Mam', 'Gebärerin', 'Muddern']","['die Alten', 'Eltern', 'Erziehungsberechtigte']","['eine Frau, die ein Kind geboren hat', 'Eine weibliche Person.', 'eine junge Frau']",mutti,mutti,mutt,mutti,,,,,[]
